
reward = -1000
epsilon = 0.1; gamma = 0.75; alpha = 0.5;

[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 221 totalScore 379 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 222 totalScore 380 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 17 BEST SCORE SO FAR 26 StepCount 223 totalScore 397 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 224 totalScore 397 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 225 totalScore 399 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 26 StepCount 226 totalScore 402 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 227 totalScore 403 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 7 BEST SCORE SO FAR 26 StepCount 228 totalScore 410 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 26 StepCount 229 totalScore 412 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 230 totalScore 413 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 231 totalScore 413 (index.js, line 239)
